SPAD,CROP,A/L,L/F,NAMEOFIMAGE
37.9,CABBAGE,ATOK,L,IMG_20250625_141115.jpg
30.2,CABBAGE,ATOK,L,IMG_20250625_141147.jpg
46.0,CABBAGE,ATOK,L,IMG_20250625_141225.jpg
38.3,CABBAGE,ATOK,L,IMG_20250625_141248.jpg
35.1,CABBAGE,ATOK,L,IMG_20250625_141342.jpg
39.4,CABBAGE,ATOK,L,IMG_20250625_141436.jpg
44.9,CABBAGE,ATOK,L,IMG_20250625_141450.jpg
23.5,CABBAGE,ATOK,L,IMG_20250625_141507.jpg
29.4,CABBAGE,ATOK,L,IMG_20250625_141542.jpg
42.0,CABBAGE,ATOK,L,IMG_20250625_141616.jpg
35.8,CABBAGE,ATOK,L,IMG_20250625_141642.jpg
25.7,CABBAGE,ATOK,L,IMG_20250625_141720.jpg
30.9,CABBAGE,ATOK,L,IMG_20250625_141740.jpg
24.7,CABBAGE,ATOK,L,IMG_20250625_141757.jpg
38.1,CABBAGE,ATOK,L,IMG_20250625_141951.jpg
44.9,CABBAGE,ATOK,L,IMG_20250625_142016.jpg
41.8,CABBAGE,ATOK,L,IMG_20250625_142037.jpg
39.5,CABBAGE,ATOK,L,IMG_20250625_142056.jpg
35.0,CABBAGE,ATOK,L,IMG_20250625_142139.jpg
32.4,CABBAGE,ATOK,L,IMG_20250625_142211.jpg
35.9,CABBAGE,ATOK,L,IMG_20250625_142234.jpg
43.0,CABBAGE,ATOK,L,IMG_20250625_142259.jpg
34.5,CABBAGE,ATOK,L,IMG_20250625_142317.jpg
25.1,CABBAGE,ATOK,L,IMG_20250625_142334.jpg
23.6,CABBAGE,ATOK,L,IMG_20250625_142416.jpg
27.3,CABBAGE,ATOK,L,IMG_20250625_142452.jpg
25.3,CABBAGE,ATOK,L,IMG_20250625_142523.jpg
29.5,CABBAGE,ATOK,L,IMG_20250625_142548.jpg
38.6,CABBAGE,ATOK,L,IMG_20250625_142647.jpg
51.6,CABBAGE,ATOK,L,IMG_20250625_142712.jpg
32.7,CABBAGE,ATOK,L,IMG_20250625_142745.jpg
29.5,CABBAGE,ATOK,L,IMG_20250625_142805.jpg
38.6,CABBAGE,ATOK,L,IMG_20250625_142830.jpg
43.3,CABBAGE,ATOK,L,IMG_20250625_142904.jpg
41.5,CABBAGE,ATOK,L,IMG_20250625_142949.jpg
15.0,CABBAGE,ATOK,L,IMG_20250625_143015.jpg
33.1,CABBAGE,ATOK,L,IMG_20250625_143039.jpg
9.9,CABBAGE,ATOK,L,IMG_20250625_143100.jpg
35.0,CABBAGE,ATOK,L,IMG_20250625_143125.jpg
34.8,CABBAGE,ATOK,L,IMG_20250625_143145.jpg
22.7,CABBAGE,ATOK,L,IMG_20250625_143205.jpg
25.8,CABBAGE,ATOK,L,IMG_20250625_143223.jpg
19.3,CABBAGE,ATOK,L,IMG_20250625_143251.jpg
30.3,CABBAGE,ATOK,L,IMG_20250625_143317.jpg
29.8,CABBAGE,ATOK,L,IMG_20250625_143333.jpg
28.9,CABBAGE,ATOK,L,IMG_20250625_143351.jpg
34.8,CABBAGE,ATOK,L,IMG_20250625_143418.jpg
25.7,CABBAGE,ATOK,L,IMG_20250625_143435.jpg
31.4,CABBAGE,ATOK,L,IMG_20250625_143457.jpg
40.4,CABBAGE,ATOK,L,IMG_20250625_143520.jpg
40.6,CABBAGE,ATOK,L,IMG_20250625_143607.jpg
39.9,CABBAGE,ATOK,L,IMG_20250625_143627.jpg
35.7,CABBAGE,ATOK,L,IMG_20250625_143646.jpg
40.4,CABBAGE,ATOK,L,IMG_20250625_143726.jpg
13.7,CABBAGE,ATOK,L,IMG_20250625_143744.jpg
27.8,CABBAGE,ATOK,L,IMG_20250625_143804.jpg
18.6,CABBAGE,ATOK,L,IMG_20250625_143833.jpg
39.3,CABBAGE,ATOK,L,IMG_20250625_143850.jpg
13.7,CABBAGE,ATOK,L,IMG_20250625_143916.jpg
42.6,CABBAGE,ATOK,L,IMG_20250625_143944.jpg
37.4,CABBAGE,ATOK,L,IMG_20250625_144015.jpg
12.6,CABBAGE,ATOK,L,IMG_20250625_144035.jpg
30.6,CABBAGE,ATOK,L,IMG_20250625_144103.jpg
25.6,CABBAGE,ATOK,L,IMG_20250625_144126.jpg
28.6,CABBAGE,ATOK,L,IMG_20250625_144144.jpg
23.2,CABBAGE,ATOK,L,IMG_20250625_144208.jpg
37.3,CABBAGE,ATOK,L,IMG_20250625_144227.jpg
31.8,CABBAGE,ATOK,L,IMG_20250625_144257.jpg
39.1,CABBAGE,ATOK,L,IMG_20250625_144312.jpg
29.9,CABBAGE,ATOK,L,IMG_20250625_144327.jpg
34.4,CABBAGE,ATOK,L,IMG_20250625_144346.jpg
20.4,CABBAGE,ATOK,L,IMG_20250625_144407.jpg
8.1,CABBAGE,ATOK,L,IMG_20250625_144423.jpg
31.6,CABBAGE,ATOK,L,IMG_20250625_144452.jpg
28.5,CABBAGE,ATOK,L,IMG_20250625_144517.jpg
53.6,CABBAGE,ATOK,L,IMG_20250625_144545.jpg
53.2,CABBAGE,ATOK,L,IMG_20250625_144641.jpg
30.8,CABBAGE,ATOK,L,IMG_20250625_144735.jpg
28.7,CABBAGE,ATOK,L,IMG_20250625_144811.jpg
32.9,CABBAGE,ATOK,L,IMG_20250625_144840.jpg
36.4,CABBAGE,ATOK,L,IMG_20250625_144910.jpg
36.9,CABBAGE,ATOK,L,IMG_20250625_144948.jpg
37.3,CABBAGE,ATOK,L,IMG_20250625_145015.jpg
25.0,CABBAGE,ATOK,L,IMG_20250625_145035.jpg
29.7,CABBAGE,ATOK,L,IMG_20250625_145050.jpg
47.1,CABBAGE,ATOK,L,IMG_20250625_151925.jpg
42.9,CABBAGE,ATOK,L,IMG_20250625_152011.jpg
47.1,CABBAGE,ATOK,L,IMG_20250625_152106.jpg
42.6,CABBAGE,ATOK,L,IMG_20250625_152130.jpg
54.9,CABBAGE,ATOK,L,IMG_20250625_152205.jpg
57.3,CABBAGE,ATOK,L,IMG_20250625_152245.jpg
56.2,CABBAGE,ATOK,L,IMG_20250625_152313.jpg
50.8,CABBAGE,ATOK,L,IMG_20250625_152343.jpg
53.1,CABBAGE,ATOK,L,IMG_20250625_152417.jpg
